subject	object	relation	type
p(HGNC:NRG1)	91e42021-9e59-4556-8eb7-65f3fd504449	1	boundary
p(HGNC:NRG1)	dfdab33a-518f-4f06-acee-9a03fe619d19	1	boundary
p(HGNC:NRG1)	df3e77d4-309d-4d73-96bf-f0d75b77c6f3	-1	boundary
p(HGNC:NRG1)	8d9da440-5618-4601-9abb-17d7a1e01ce9	-1	boundary
p(HGNC:NRG1)	cc059e26-afc2-48ed-ac2b-270f9909afea	1	boundary
p(HGNC:NRG1)	87c4d4a3-e252-4eb0-843e-89bd2d675105	-1	boundary
p(HGNC:NRG1)	da432c90-bdc6-40c7-8780-f67633152c3a	-1	boundary
p(HGNC:NRG1)	d9d4c8b1-ec40-490f-81dd-d3905fa296db	-1	boundary
p(HGNC:NRG1)	577379dc-94eb-4d7d-bd54-3234ba31ba68	-1	boundary
p(HGNC:NRG1)	262fb54c-7caa-4438-9021-f754f8ae9e61	-1	boundary
p(HGNC:NRG1)	4d6febd6-2034-4e6b-9a27-8ce097fae2bb	-1	boundary
p(HGNC:NRG1)	78bd3e4e-ce7e-4dcc-bf3e-c720462b2b2d	1	boundary
p(HGNC:NRG1)	3b3e580e-eafe-491c-b793-b3ebda44f7fd	1	boundary
p(HGNC:NRG1)	61d1cd6d-a073-4a88-904a-fac2f901d136	-1	boundary
p(HGNC:NRG1)	3d19981c-3d6e-4b32-aca0-598bb0e1cc50	-1	boundary
p(HGNC:NRG1)	145eac7c-2620-4156-93a0-7a6c1e1abbbe	-1	boundary
p(HGNC:NRG1)	ab4413a2-14eb-46f1-96a3-25e7949f1d81	-1	boundary
p(HGNC:NRG1)	34709bee-afd4-4ee1-8888-470e348b13e0	-1	boundary
p(HGNC:SLC6A12)	2d1d1f7f-efb4-432d-a064-cc6b8acb0888	1	boundary
p(HGNC:SLC6A12)	cc059e26-afc2-48ed-ac2b-270f9909afea	1	boundary
p(HGNC:SLC6A12)	eae3710e-494f-44c0-9519-ebddabf412cc	-1	boundary
p(HGNC:SLC6A12)	61d1cd6d-a073-4a88-904a-fac2f901d136	-1	boundary
p(HGNC:SLC6A12)	b8798821-7ad3-4666-a397-b7b799e94eb2	1	boundary
p(HGNC:SLC6A12)	b2e350de-e7b4-443a-83b4-57e5e97aa317	-1	boundary
p(HGNC:SLC6A12)	314a6316-615d-4441-91a4-62ef4bdeb703	-1	boundary
p(HGNC:SLC6A12)	4d6febd6-2034-4e6b-9a27-8ce097fae2bb	1	boundary
p(HGNC:SLC6A12)	8cfd3662-ac11-414f-a830-ab28187d6d8b	-1	boundary
p(HGNC:SLC6A12)	262fb54c-7caa-4438-9021-f754f8ae9e61	1	boundary
p(HGNC:SLC6A12)	78bd3e4e-ce7e-4dcc-bf3e-c720462b2b2d	1	boundary
p(HGNC:SLC6A12)	9803d3eb-a572-40f9-ba98-8bf71607febf	1	boundary
p(HGNC:SLC6A12)	1630f06b-ea7d-4643-bf2d-4176b9a4d690	1	boundary
p(HGNC:SLC6A12)	f722f8b4-f849-4608-9a80-758c4a9d7632	-1	boundary
p(HGNC:SLC6A12)	34709bee-afd4-4ee1-8888-470e348b13e0	1	boundary
p(HGNC:SLC6A12)	a620a646-bc82-4700-9db4-a60fe4601a89	-1	boundary
p(HGNC:SLC6A12)	8811edf2-4972-4346-aaae-40144c1f92e9	1	boundary
p(HGNC:SLC6A12)	4b551ba0-d459-4325-9a61-49c36e01e08b	1	boundary
p(HGNC:SLC6A12)	9b4107b1-98a5-4886-a9a7-bdd2a12d95ef	-1	boundary
p(HGNC:SLC6A12)	b2385637-2851-4593-850f-4227454d6f05	1	boundary
p(HGNC:SLC6A12)	68b763c6-7386-4d3a-98c8-9c8317743c65	-1	boundary
p(HGNC:SLC6A12)	3cb25b24-7a24-45b3-8b9e-ba0ea00b1eaf	-1	boundary
p(HGNC:SLC6A12)	1757b457-3219-4802-ac2d-21e6fdd2c240	1	boundary
p(HGNC:SLC6A12)	519bb8bb-4c11-4e6a-b8dc-bbd721c00d72	-1	boundary
